2014-06-05 21:00:33.791 [error] <0.57.0>@lager_handler_watcher:98 Lager fatally failed to install handler lager_console_backend into lager_event, NOT retrying: old_shell
2014-06-05 21:00:33.791 [warning] <0.52.0>@lager_console_backend:64 Lager's console backend is incompatible with the 'old' shell, not enabling it
2014-06-05 21:00:33.959 [info] <0.7.0> Application lager started on node 'robot1@127.0.0.1'
2014-06-05 21:00:34.037 [info] <0.7.0> Application sasl started on node 'robot1@127.0.0.1'
2014-06-05 21:00:34.079 [error] <0.82.0>@robot_app:start_robots:29 DBG "Numbers"==1
2014-06-05 21:00:34.133 [error] <0.84.0>@client_robot:init:14 DBG "Accout"==[114,111,98,111,116,95,49]
2014-06-05 21:00:34.343 [error] <0.84.0>@client_robot:do_login:128 DBG "State"=={robot,0,[114,111,98,111,116,95,49],[],1,#Port<0.3424>,0,1,undefined,0,undefined,[],0,0,0,[],0,0}
2014-06-05 21:00:34.444 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_login,"robot_1"}
2014-06-05 21:00:34.534 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_login,0,1}
2014-06-05 21:00:34.578 [error] <0.84.0>@mod_role:handle:9 DBG "Code"==0
2014-06-05 21:00:34.850 [info] <0.7.0> Application robot started on node 'robot1@127.0.0.1'
2014-06-05 21:00:35.350 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_enter_game,1}
2014-06-05 21:00:35.591 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_enter_game,1,10000,110,52}
2014-06-05 21:00:36.363 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_enter,10000}
2014-06-05 21:00:36.712 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:36.792 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,undefined,10000,{r_pos,0,110,52,0},[],0,0,0,[],0,0}
2014-06-05 21:00:38.391 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"n4m4l4k4j4i4h4g4"}
2014-06-05 21:00:38.391 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,110,52}
2014-06-05 21:00:38.603 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,109,52}
2014-06-05 21:00:38.806 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,108,52}
2014-06-05 21:00:39.003 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,107,52}
2014-06-05 21:00:39.004 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:39.004 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:39.004 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,107,52,0},[{106,52},{105,52},{104,52},{103,52}],0,0,0,[],0,0}
2014-06-05 21:00:39.204 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,52}
2014-06-05 21:00:39.405 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,52}
2014-06-05 21:00:39.616 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,53}
2014-06-05 21:00:39.823 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,54}
2014-06-05 21:00:40.023 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,55}
2014-06-05 21:00:40.226 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,56}
2014-06-05 21:00:40.421 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"j9j:j;"}
2014-06-05 21:00:40.421 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,57}
2014-06-05 21:00:40.421 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,58}
2014-06-05 21:00:40.631 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,59}
2014-06-05 21:00:42.447 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"j;i;h;g;f;e;d;c;"}
2014-06-05 21:00:42.447 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,106,59}
2014-06-05 21:00:42.661 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,105,59}
2014-06-05 21:00:42.863 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,104,59}
2014-06-05 21:00:43.066 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,103,59}
2014-06-05 21:00:43.265 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,102,59}
2014-06-05 21:00:43.462 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,101,59}
2014-06-05 21:00:43.665 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,100,59}
2014-06-05 21:00:43.873 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,59}
2014-06-05 21:00:45.490 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"c;c<c=c>c?c@cAcB"}
2014-06-05 21:00:45.490 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,59}
2014-06-05 21:00:45.702 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,60}
2014-06-05 21:00:45.703 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:45.703 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:45.703 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,99,60,0},[{99,61},{99,62},{99,63},{99,64},{99,65},{99,66}],0,0,0,[],0,0}
2014-06-05 21:00:45.900 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,61}
2014-06-05 21:00:46.107 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,62}
2014-06-05 21:00:46.304 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,63}
2014-06-05 21:00:46.505 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,63}
2014-06-05 21:00:46.717 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,62}
2014-06-05 21:00:46.920 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,61}
2014-06-05 21:00:47.124 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,60}
2014-06-05 21:00:47.324 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,59}
2014-06-05 21:00:47.519 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"c:c9c8"}
2014-06-05 21:00:47.519 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,58}
2014-06-05 21:00:47.519 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,57}
2014-06-05 21:00:47.521 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:47.521 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:47.521 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,99,57,0},[{99,56}],0,0,0,[],0,0}
2014-06-05 21:00:47.726 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,56}
2014-06-05 21:00:49.545 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"c8b8a8`8_8^8]8\\8"}
2014-06-05 21:00:49.545 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,99,56}
2014-06-05 21:00:49.755 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,98,56}
2014-06-05 21:00:49.951 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,56}
2014-06-05 21:00:50.160 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,56}
2014-06-05 21:00:50.363 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,56}
2014-06-05 21:00:50.364 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:50.364 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:50.364 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,95,56,0},[{94,56},{93,56},{92,56}],0,0,0,[],0,0}
2014-06-05 21:00:50.559 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,56}
